,response id,birth year,gender,industry desc,occupation desc,organization size,manage others?,household,years at job,metro or regional,rw percentage (2020),org encouraged rw?,org prepared for rw?,rw is common at org?,rw permission is attainable,rw collaboration easy?,preferred rw percentage (2020),preferred rw percentage (future),if no covid: employer encourage rw ,if no covid: employer support rw,if no covid: i would have choice about rw,productivity (remote vs office),in-person: hours  commuting ,in-person: hours  working,in-person: hours  personal/family time,in-person: hours domestic responsibilities,remote: hours commuting ,remote: hours working,remote: hours personal/family time,remote: hours domestic responsibilities
1606,100,1980,Male,Retail Trade,"Managers - Hospitality, Retail and Service Managers",More than 200,Yes,Couple with dependent children,More than 5 years,Metro,50% - I spent about half of my time remote working,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,40%,30%,Very likely,Neither unlikely or likely,Somewhat likely,I’m 10% more productive when working remotely,6.0,4.0,4.0,4.0,2.5,2.5,6.0,5.0
1607,101,1978,Female,Education and Training,Professionals - Education Professionals,Between 5 and 19,No,Couple with dependent children,Between 1 and 5 years,Metro,60%,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,60%,70%,Somewhat likely,Somewhat likely,Very likely,I’m 20% more productive when working remotely,2.0,6.0,3.0,5.0,3.0,6.0,3.0,5.0
1608,102,1997,Female,"Electricity, Gas, Water and Waste",Community and personal service workers - Hospitality Workers,Between 1 and 4,Yes,Couple with dependent children,Between 1 and 5 years,Metro,40%,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,30%,40%,Neither unlikely or likely,Somewhat likely,Somewhat unlikely,I’m 10% more productive when working remotely,2.0,6.0,6.0,2.0,4.0,8.0,4.0,2.0
1609,103,1976,Female,Other Services,Clerical and administrative workers - Personal Assistants and Secretaries,More than 200,No,Couple with no dependent children,More than 5 years,Metro,100% - I spent all of my time remote working,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,100% - All of my time,60%,Somewhat likely,Somewhat likely,Somewhat likely,I’m 30% more productive when working remotely,1.0,8.0,3.0,3.0,0.0,6.0,4.0,4.0
1610,104,1975,Female,Financial and Insurance,Clerical and administrative workers - General Clerical Workers,Between 5 and 19,Yes,Couple with no dependent children,More than 5 years,Metro,40%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,50% - About half of my time,20%,Very likely,Very likely,Very likely,I’m 40% more productive when working remotely,2.0,8.0,4.0,2.0,2.0,8.0,6.0,2.0
1611,105,1993,Female,Other Services,Professionals - Arts and Media Professionals,Between 20 and 199,No,Couple with no dependent children,Between 1 and 5 years,Metro,10%,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,30%,30%,Somewhat unlikely,Neither unlikely or likely,Somewhat unlikely,My productivity is about same when I work remotely,2.0,8.0,5.0,3.0,0.0,6.0,7.0,4.0
1612,106,1992,Female,Retail Trade,Sales workers - Sales Assistants and Salespersons,Between 20 and 199,Yes,One parent family with dependent children,Between 6 and 12 months,Metro,10%,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,20%,30%,Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,I’m 30% more productive when working remotely,6.0,7.0,3.0,3.0,2.0,8.0,5.0,4.0
1613,107,1969,Female,Retail Trade,"Managers - Hospitality, Retail and Service Managers",Between 20 and 199,Yes,One parent family with dependent children,More than 5 years,Metro,20%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,20%,20%,Somewhat likely,Neither unlikely or likely,Somewhat likely,I’m 40% more productive when working remotely,6.0,6.0,2.0,4.0,6.0,6.0,2.0,4.0
1614,108,1986,Female,Financial and Insurance,"Professionals - Legal, Social and Welfare Professionals",More than 200,No,Couple with no dependent children,More than 5 years,Metro,100% - I spent all of my time remote working,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,100% - All of my time,100% - All of my time,Somewhat likely,Somewhat likely,Somewhat likely,My productivity is about same when I work remotely,3.0,7.0,6.0,,,7.0,9.0,
1615,109,1978,Female,Accommodation and Food,"Managers - Chief Executives, General Managers and Legislators",Between 20 and 199,Yes,One parent family with dependent children,Between 1 and 5 years,Regional,30%,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,50% - About half of my time,50% - About half of my time,Somewhat likely,Neither unlikely or likely,Somewhat likely,I’m 20% more productive when working remotely,1.0,8.0,4.0,3.0,0.0,9.0,4.0,3.0
1616,110,1992,Female,"Professional, Scientific and Technical","Professionals - Design, Engineering, Science and Transport Professionals",More than 200,No,Couple with no dependent children,Between 1 and 5 years,Metro,40%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,40%,20%,Somewhat likely,Somewhat likely,Somewhat likely,I’m 30% more productive when working remotely,1.5,8.0,3.0,4.0,0.5,8.0,4.0,4.0
1617,111,1995,Female,Construction,Managers - Specialist Managers,Between 20 and 199,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,30%,40%,Somewhat likely,Neither unlikely or likely,Somewhat likely,I’m 40% more productive when working remotely,3.0,6.0,5.0,3.0,2.0,6.0,4.0,6.0
1618,112,1984,Female,"Transport, Postal and Warehousing","Professionals - Design, Engineering, Science and Transport Professionals",More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro,80%,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Neither agree nor disagree,50% - About half of my time,50% - About half of my time,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,I’m 50% more productive when working remotely (or more),4.0,8.0,2.0,2.0,4.0,8.0,2.0,2.0
1619,113,1998,Female,Retail Trade,"Managers - Hospitality, Retail and Service Managers",Between 20 and 199,No,Multiple family household,Between 1 and 5 years,Metro,Rarely or never,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,50% - About half of my time,50% - About half of my time,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,My productivity is about same when I work remotely,1.0,8.0,2.0,4.0,1.0,8.0,2.0,4.0
1620,114,1987,Female,Financial and Insurance,Clerical and administrative workers - Other Clerical and Administrative Workers,Between 5 and 19,No,Couple with dependent children,More than 5 years,Regional,30%,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,50% - About half of my time,50% - About half of my time,Neither unlikely or likely,Somewhat likely,Somewhat likely,I’m 20% more productive when working remotely,2.0,8.0,4.0,4.0,0.5,8.0,4.0,4.0
1621,115,1974,Male,Financial and Insurance,Managers - Specialist Managers,More than 200,No,Couple with dependent children,Between 1 and 5 years,Regional,100% - I spent all of my time remote working,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,100% - All of my time,100% - All of my time,Neither unlikely or likely,Somewhat likely,Neither unlikely or likely,I’m 20% more productive when working remotely,4.0,9.0,3.0,2.0,0.0,10.0,3.0,3.0
1622,116,1986,Female,Retail Trade,"Managers - Hospitality, Retail and Service Managers",More than 200,Yes,Multiple family household,More than 5 years,Metro,30%,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,20%,30%,Somewhat likely,Somewhat likely,Neither unlikely or likely,I’m 30% more productive when working remotely,6.0,4.0,4.0,6.0,9.0,7.0,4.0,2.0
1623,117,1977,Female,Health Care and Social Assistance,Professionals - Health Professionals,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,10%,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,20%,20%,Somewhat likely,Very likely,Neither unlikely or likely,I’m 20% more productive when working remotely,1.0,8.0,4.0,4.0,1.0,8.0,4.0,4.0
1624,118,1989,Male,Other Services,Clerical and administrative workers - General Clerical Workers,More than 200,No,Single person,More than 5 years,Metro,100% - I spent all of my time remote working,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,100% - All of my time,70%,Neither unlikely or likely,Somewhat likely,Somewhat likely,I’m 10% less productive when working remotely,2.0,7.0,8.0,0.0,0.0,7.0,7.0,0.0
1625,119,1983,Male,Information Media and Telecommunications,Professionals - ICT Professionals,More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro,70%,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,70%,70%,Very likely,Neither unlikely or likely,Neither unlikely or likely,I’m 30% less productive when working remotely,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0
1626,120,1999,Female,Public Administration and Safety,Clerical and administrative workers - Clerical and Office Support Workers,More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,80%,Neither unlikely or likely,Somewhat likely,Very likely,I’m 50% more productive when working remotely (or more),1.0,8.0,4.0,3.0,0.3,8.0,5.0,3.7
1627,121,1981,Female,Information Media and Telecommunications,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,No,Single person,Between 1 and 5 years,Metro,30%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,90%,I would prefer not to work remotely,Somewhat unlikely,Very likely,Neither unlikely or likely,My productivity is about same when I work remotely,1.0,8.0,5.0,4.0,0.0,8.0,5.0,5.0
1628,122,1971,Male,Education and Training,"Managers - Chief Executives, General Managers and Legislators",More than 200,Yes,Couple with dependent children,Between 6 and 12 months,Metro,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,100% - All of my time,100% - All of my time,Very likely,Very likely,Very likely,I’m 20% more productive when working remotely,5.0,9.0,2.0,2.0,0.0,10.0,3.0,4.0
1629,123,1986,Female,Education and Training,Managers - Specialist Managers,More than 200,Yes,Couple with dependent children,Between 6 and 12 months,Metro,80%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,80%,80%,Somewhat likely,Somewhat likely,Somewhat likely,I’m 50% more productive when working remotely (or more),2.0,7.0,4.0,3.0,0.5,9.0,4.5,2.0
1630,124,1981,Male,Financial and Insurance,Managers - Specialist Managers,Between 20 and 199,Yes,Couple with dependent children,More than 5 years,Metro,50% - I spent about half of my time remote working,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,60%,50% - About half of my time,Very likely,Somewhat likely,Somewhat likely,I’m 20% more productive when working remotely,2.0,8.0,2.0,2.0,2.0,8.0,4.0,2.0
1631,125,1978,Male,Accommodation and Food,"Managers - Hospitality, Retail and Service Managers",Between 20 and 199,No,Couple with dependent children,More than 5 years,Regional,10%,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,10%,10%,Somewhat likely,Very likely,Somewhat likely,I’m 10% less productive when working remotely,1.0,2.0,8.0,5.0,1.0,8.0,3.0,4.0
1632,126,1995,Male,Health Care and Social Assistance,"Managers - Hospitality, Retail and Service Managers",Between 20 and 199,Yes,Group household,Between 1 and 5 years,Metro,50% - I spent about half of my time remote working,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,50% - About half of my time,70%,Neither unlikely or likely,Somewhat likely,Neither unlikely or likely,I’m 50% more productive when working remotely (or more),2.0,7.5,4.5,4.0,2.0,7.5,4.5,4.0
1633,127,1972,Male,Information Media and Telecommunications,Managers - Specialist Managers,More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro,Less than 10% of my time,Strongly agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,20%,40%,Very likely,Very likely,Somewhat likely,I’m 20% more productive when working remotely,3.0,8.0,4.0,1.0,1.0,8.0,5.0,2.0
1634,128,1992,Male,Manufacturing,Machinery operators and drivers - Storepersons,More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro,10%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,10%,10%,Very unlikely,Very unlikely,Very unlikely,I’m 10% less productive when working remotely,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
1635,129,1980,Male,Retail Trade,"Managers - Chief Executives, General Managers and Legislators",Between 20 and 199,Yes,Multiple family household,Between 1 and 5 years,Metro,70%,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,70%,60%,Very likely,Somewhat likely,Very likely,I’m 20% more productive when working remotely,2.0,8.0,3.0,3.0,2.0,2.0,8.0,4.0
1636,130,1979,Male,Financial and Insurance,Managers - Specialist Managers,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,50% - I spent about half of my time remote working,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,50% - About half of my time,50% - About half of my time,Somewhat likely,Somewhat likely,Somewhat likely,I’m 50% more productive when working remotely (or more),3.0,8.0,2.0,3.0,0.0,7.5,4.0,3.5
1637,131,1992,Female,Health Care and Social Assistance,Clerical and administrative workers - General Clerical Workers,More than 200,No,Multiple family household,Between 1 and 5 years,Metro,40%,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,20%,20%,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,I’m 30% more productive when working remotely,1.0,9.0,6.0,,1.0,8.0,6.0,1.0
1638,132,1968,Male,"Professional, Scientific and Technical",Professionals - ICT Professionals,More than 200,No,Couple with dependent children,More than 5 years,Metro,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,100% - All of my time,Very likely,Very likely,Very likely,I’m 20% more productive when working remotely,2.0,7.5,4.0,3.0,0.0,8.5,5.0,3.0
1639,133,1999,Male,Retail Trade,Sales workers - Sales Assistants and Salespersons,More than 200,No,Multiple family household,Between 1 and 5 years,Regional,Rarely or never,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I would not have preferred to work remotely,I would prefer not to work remotely,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,I’m 10% less productive when working remotely,2.0,8.0,5.0,,0.0,8.0,6.0,
1640,134,1998,Female,Administrative and Support,Sales workers - Sales Representatives and Agents,More than 200,No,Other one family household,Between 1 and 5 years,Metro,90%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,90%,100% - All of my time,Very unlikely,Very unlikely,Very unlikely,My productivity is about same when I work remotely,3.0,8.0,2.0,3.0,0.0,8.0,5.0,3.0
1641,135,1996,Female,Financial and Insurance,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,No,Single person,Between 1 and 5 years,Metro,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,100% - All of my time,70%,Somewhat likely,Somewhat likely,Somewhat likely,I’m 50% more productive when working remotely (or more),1.5,8.5,5.0,1.0,1.0,8.0,6.0,1.0
1642,136,1986,Female,Education and Training,Professionals - Education Professionals,Between 20 and 199,Yes,Single person,More than 5 years,Metro,Less than 10% of my time,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,I would not have preferred to work remotely,20%,Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,I’m 30% less productive when working remotely,1.0,10.5,1.5,3.0,0.5,8.5,3.0,3.0
1643,137,1980,Male,Retail Trade,"Managers - Chief Executives, General Managers and Legislators",Between 20 and 199,Yes,Couple with dependent children,Between 1 and 5 years,Metro,70%,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,40%,60%,Very likely,Somewhat likely,Very likely,I’m 20% more productive when working remotely,5.0,8.0,1.0,2.0,5.0,8.0,1.0,2.0
1644,138,1999,Female,Other Services,Sales workers - Sales Assistants and Salespersons,Between 20 and 199,No,Couple with no dependent children,Between 1 and 5 years,Metro,Rarely or never,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Less than 10% of my time,Less than 10% of my time,Very unlikely,Very unlikely,Somewhat unlikely,My productivity is about same when I work remotely,3.0,8.0,2.0,3.0,0.5,8.0,3.0,5.0
1645,139,1966,Male,Public Administration and Safety,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,No,Couple with dependent children,More than 5 years,Metro,100% - I spent all of my time remote working,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,100% - All of my time,60%,Very likely,Very likely,Very likely,I’m 30% more productive when working remotely,2.0,7.5,3.0,3.5,0.0,7.5,5.0,3.5
1646,140,1993,Male,Accommodation and Food,Technicians and trades workers - Food Trades Workers,Between 20 and 199,Yes,Single person,Between 1 and 5 years,Metro,20%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,80%,50% - About half of my time,Somewhat likely,Somewhat likely,Somewhat unlikely,I’m 50% more productive when working remotely (or more),2.0,6.0,4.0,2.0,3.0,6.0,3.0,2.0
1647,141,1981,Male,Construction,"Managers - Chief Executives, General Managers and Legislators",More than 200,Yes,Couple with dependent children,Between 6 and 12 months,Metro,80%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,90%,60%,Somewhat likely,Very likely,Somewhat likely,I’m 30% more productive when working remotely,1.0,5.0,8.0,2.0,8.0,3.0,3.0,2.0
1648,142,1993,Female,Financial and Insurance,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,No,Multiple family household,Between 1 and 5 years,Metro,Less than 10% of my time,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,90%,Somewhat unlikely,Neither unlikely or likely,Somewhat likely,I’m 50% more productive when working remotely (or more),4.0,7.0,3.0,2.0,0.5,8.0,5.5,2.0
1649,143,1990,Male,Administrative and Support,Clerical and administrative workers - Office Managers and Program Administrators,More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro,100% - I spent all of my time remote working,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,80%,80%,Somewhat likely,Neither unlikely or likely,Somewhat likely,I’m 20% more productive when working remotely,3.0,7.0,,7.0,1.0,7.0,,7.0
1650,144,1999,Female,Retail Trade,Machinery operators and drivers - Storepersons,More than 200,No,Couple with no dependent children,Between 6 and 12 months,Metro,20%,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,I would not have preferred to work remotely,I would prefer not to work remotely,Very unlikely,Very unlikely,Very unlikely,I’m 50% less productive when working remotely (or worse),1.5,5.0,5.5,2.0,0.0,5.0,2.0,7.0
1651,145,1983,Male,Education and Training,Managers - Specialist Managers,Between 20 and 199,Yes,Couple with dependent children,Between 6 and 12 months,Metro,100% - I spent all of my time remote working,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,100% - All of my time,100% - All of my time,Somewhat likely,Somewhat likely,Somewhat likely,I’m 30% more productive when working remotely,1.0,8.0,4.0,3.0,0.5,8.5,3.0,4.0
1652,146,1995,Female,"Rental, Hiring and Real Estate",Clerical and administrative workers - Inquiry Clerks and Receptionists,More than 200,No,Couple with no dependent children,Between 1 and 5 years,Metro,40%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,80%,40%,Somewhat likely,Neither unlikely or likely,Neither unlikely or likely,I’m 30% less productive when working remotely,2.0,8.0,3.0,4.0,0.5,8.0,5.5,3.0
1653,147,1988,Female,Health Care and Social Assistance,Community and personal service workers - Health and Welfare Support Workers,More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro,60%,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,60%,50% - About half of my time,Very unlikely,Very unlikely,Very unlikely,I’m 30% more productive when working remotely,2.0,8.0,4.0,4.0,0.5,8.0,5.0,2.5
1654,148,1989,Female,Construction,Labourers - Construction and Mining Labourers,Between 5 and 19,No,Couple with dependent children,Between 1 and 5 years,Metro,40%,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,50% - About half of my time,80%,Somewhat likely,Somewhat likely,Somewhat likely,I’m 30% more productive when working remotely,2.0,8.0,5.0,1.0,1.0,8.0,6.0,1.0
1655,149,1992,Male,Retail Trade,Managers - Specialist Managers,Between 5 and 19,Yes,Couple with dependent children,More than 5 years,Metro,50% - I spent about half of my time remote working,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,50% - About half of my time,50% - About half of my time,Somewhat likely,Somewhat likely,Somewhat likely,I’m 20% more productive when working remotely,2.0,8.0,4.0,2.0,0.0,8.0,5.0,3.0
1656,150,1991,Female,"Professional, Scientific and Technical","Professionals - Business, Human Resource and Marketing Professionals",Between 20 and 199,Yes,Couple with dependent children,More than 5 years,Metro,70%,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,100% - All of my time,70%,Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,I’m 30% more productive when working remotely,2.0,8.0,1.0,5.0,0.0,8.0,3.0,5.0
1657,151,1990,Female,Manufacturing,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,No,Couple with no dependent children,Between 1 and 5 years,Metro,100% - I spent all of my time remote working,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,100% - All of my time,100% - All of my time,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,I’m 50% more productive when working remotely (or more),2.0,8.0,2.0,4.0,2.0,8.0,3.0,4.0
1658,152,1992,Female,Construction,Clerical and administrative workers - Office Managers and Program Administrators,Between 5 and 19,No,Couple with dependent children,More than 5 years,Regional,50% - I spent about half of my time remote working,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,50% - About half of my time,50% - About half of my time,Somewhat likely,Somewhat likely,Very likely,I’m 40% more productive when working remotely,1.0,5.0,4.0,4.0,1.0,6.0,4.0,3.0
1659,153,1979,Male,"Professional, Scientific and Technical","Technicians and trades workers - Engineering, ICT and Science Technicians",Between 20 and 199,No,Couple with dependent children,More than 5 years,Metro,80%,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,100% - All of my time,80%,Somewhat unlikely,Neither unlikely or likely,Somewhat unlikely,I’m 20% more productive when working remotely,3.0,8.0,3.0,2.0,0.0,10.0,2.0,4.0
1660,154,1990,Male,Retail Trade,Managers - Specialist Managers,More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro,30%,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,20%,20%,Neither unlikely or likely,Somewhat likely,Very likely,I’m 30% more productive when working remotely,4.0,6.0,2.0,4.0,6.0,8.0,4.0,2.0
1661,155,1982,Female,Retail Trade,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,No,Couple with dependent children,More than 5 years,Metro,30%,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,30%,30%,Neither unlikely or likely,Somewhat likely,Somewhat unlikely,I’m 10% more productive when working remotely,3.0,8.0,3.0,1.0,0.5,8.0,5.0,1.5
1662,156,1980,Male,Information Media and Telecommunications,Managers - Specialist Managers,More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro,10%,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,30%,20%,Somewhat likely,Somewhat likely,Neither unlikely or likely,I’m 10% more productive when working remotely,4.0,5.0,3.0,6.0,3.0,10.0,3.0,6.0
1663,157,1990,Male,Retail Trade,Managers - Specialist Managers,More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro,30%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,20%,40%,Very likely,Very likely,Somewhat likely,I’m 40% more productive when working remotely,8.0,4.0,4.0,3.0,5.0,4.0,7.0,5.0
1664,158,1999,Female,Retail Trade,"Managers - Hospitality, Retail and Service Managers",More than 200,Yes,Couple with no dependent children,Between 1 and 5 years,Regional,Rarely or never,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Less than 10% of my time,I would prefer not to work remotely,Very unlikely,Very unlikely,Very unlikely,I’m 10% less productive when working remotely,0.25,10.0,3.5,2.5,0.0,10.0,2.5,2.5
1665,159,1994,Male,Financial and Insurance,"Professionals - Business, Human Resource and Marketing Professionals",Between 20 and 199,Yes,Couple with dependent children,Between 1 and 5 years,Metro,40%,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,40%,30%,Neither unlikely or likely,Somewhat likely,Somewhat unlikely,I’m 40% more productive when working remotely,2.0,8.0,2.0,3.0,0.0,6.0,4.0,5.0
1666,160,1985,Male,Administrative and Support,"Managers - Chief Executives, General Managers and Legislators",Between 20 and 199,Yes,Couple with dependent children,More than 5 years,Metro,40%,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,40%,I would prefer not to work remotely,Very likely,Very likely,Very likely,I’m 30% more productive when working remotely,1.0,8.0,5.0,3.0,0.0,8.0,4.0,3.0
1667,161,1977,Male,Administrative and Support,Clerical and administrative workers - Clerical and Office Support Workers,Between 20 and 199,No,Single person,More than 5 years,Metro,60%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,60%,40%,Neither unlikely or likely,Somewhat likely,Very likely,I’m 40% more productive when working remotely,2.0,7.0,5.0,1.0,0.0,5.0,11.0,1.0
1668,162,1994,Female,Health Care and Social Assistance,"Professionals - Legal, Social and Welfare Professionals",More than 200,No,Couple with no dependent children,Between 1 and 5 years,Regional,30%,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,50% - About half of my time,30%,Very unlikely,Very unlikely,Very unlikely,I’m 50% more productive when working remotely (or more),2.0,8.0,2.0,3.0,0.5,8.0,3.5,3.0
1669,163,1984,Female,Arts and Recreation,Clerical and administrative workers - General Clerical Workers,Between 20 and 199,No,Group household,Between 1 and 5 years,Metro,10%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,20%,10%,Somewhat unlikely,Very unlikely,Somewhat unlikely,I’m 20% more productive when working remotely,5.0,10.0,2.0,5.0,10.0,4.0,5.0,5.0
1670,164,1984,Male,Financial and Insurance,"Managers - Chief Executives, General Managers and Legislators",More than 200,No,Couple with no dependent children,More than 5 years,Metro,100% - I spent all of my time remote working,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,100% - All of my time,100% - All of my time,Somewhat likely,Somewhat likely,Somewhat likely,My productivity is about same when I work remotely,2.0,8.0,4.0,2.0,0.0,8.0,4.0,4.0
1671,165,1994,Male,Financial and Insurance,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,No,Couple with no dependent children,More than 5 years,Metro,50% - I spent about half of my time remote working,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,40%,20%,Neither unlikely or likely,Somewhat likely,Neither unlikely or likely,I’m 10% less productive when working remotely,2.5,10.0,2.0,1.5,0.5,11.0,3.0,1.5
1672,166,1995,Male,Information Media and Telecommunications,Professionals - ICT Professionals,Between 20 and 199,Yes,Couple with no dependent children,Between 6 and 12 months,Metro,30%,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,60%,50% - About half of my time,Very likely,Somewhat likely,Very likely,I’m 50% more productive when working remotely (or more),2.0,6.0,2.0,0.0,2.0,7.0,7.0,2.0
