responder_id,birth_year,gender,industry_desc,occupation_desc,organization_size,manage_others,household,years_at_job,metro_or_regional,rw_percentage_2020,org_encouraged_rw,org_prepared_for_rw,rw_is_common_at_org,rw_permission_is_attainable,rw_collaboration_easy,preferred_rw_percentage_2020,preferred_rw_percentage_future,if_no_covid_employer_encourage_rw,if_no_covid_employer_support_rw,if_no_covid_i_would_have_choice_about_rw,productivity_remote_vs_office,inperson_hours__commuting,inperson_hours__working,inperson_hours__personal_family_time,inperson_hours_domestic_responsibilities,remote_hours_commuting,remote_hours_working,remote_hours_personal_family_time,remote_hours_domestic_responsibilities
1852,1981,Male,"Professional, Scientific and Technical","Professionals - Design, Engineering, Science and Transport Professionals",Between 20 and 199,Yes,Couple with dependent children,More than 5 years,Metro,1-2 days,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,3-4 days,2-3 days,Very likely,Very likely,Very likely,much more productive,2.0,8.0,2.0,4.0,0.5,6.0,4.5,5.0
1853,1986,Male,Other,Managers - Specialist Managers,Between 20 and 199,Yes,Couple with dependent children,More than 5 years,Metro,3-4 days,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,2-3 days,1-2 days,Neither unlikely or likely,Somewhat likely,Somewhat likely,much more productive,1.5,8.0,4.5,3.0,2.0,6.0,6.0,2.0
1854,1990,Female,Other,"Professionals - Business, Human Resource and Marketing Professionals",Between 20 and 199,Yes,Couple with dependent children,More than 5 years,Metro,2-3 days,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,3-4 days,2-3 days,Somewhat likely,Neither unlikely or likely,Somewhat likely,more productive,1.0,8.0,5.0,2.0,0.0,8.0,6.0,1.0
1855,1987,Female,"Professional, Scientific and Technical",Managers - Specialist Managers,More than 200,No,One parent family with dependent children,More than 5 years,Metro,3-4 days,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,2-3 days,2-3 days,Somewhat likely,Somewhat likely,Somewhat likely,much more productive,2.0,6.0,8.0,1.0,0.0,10.0,6.0,1.0
1856,1980,Male,Other Services,Managers - Specialist Managers,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,3-4 days,Very likely,Somewhat likely,Very likely,much more productive,3.0,8.0,3.0,2.0,3.0,8.0,2.0,3.0
1857,2001,Male,Other,Other,Between 1 and 4,Yes,Couple with dependent children,More than 5 years,Regional,1-2 days,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,1-2 days,1-2 days,Somewhat likely,Somewhat likely,Very likely,more productive,2.0,10.0,3.0,1.0,2.0,10.0,2.0,2.0
1858,1985,Female,Other,Professionals - ICT Professionals,Between 5 and 19,No,Single person,More than 5 years,Regional,1-2 days,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,1-2 days,1-2 days,Somewhat likely,Neither unlikely or likely,Somewhat likely,less productive,1.5,7.0,4.0,3.5,1.0,8.0,3.0,4.0
1859,1978,Male,Other Services,"Managers - Chief Executives, General Managers and Legislators",More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Regional,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Very likely,Very likely,Very likely,much more productive,2.0,7.0,4.0,4.0,2.0,7.0,4.0,4.0
1860,1970,Male,Other,Other,Between 20 and 199,Yes,Multiple family household,More than 5 years,Metro,2-3 days,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,1-2 days,1-2 days,Somewhat likely,Neither unlikely or likely,Somewhat likely,same productivity,1.0,8.0,4.0,1.0,1.0,8.0,4.0,3.0
1861,1975,Male,Other Services,"Managers - Chief Executives, General Managers and Legislators",More than 200,Yes,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,4-5 days,4-5 days,Very likely,Somewhat likely,Very likely,much more productive,6.0,8.0,4.0,4.0,0.5,8.0,3.0,4.0
1862,1978,Male,Other,Managers - Specialist Managers,Between 20 and 199,Yes,Couple with dependent children,More than 5 years,Regional,1-2 days,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,1-2 days,1-2 days,Somewhat likely,Very likely,Very likely,more productive,1.0,2.0,8.0,5.0,1.0,8.0,3.0,4.0
1863,1977,Male,Other,"Managers - Chief Executives, General Managers and Legislators",More than 200,Yes,Couple with dependent children,More than 5 years,Metro,0-1 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,1-2 days,1-2 days,Somewhat likely,Somewhat likely,Neither unlikely or likely,much more productive,2.0,7.0,5.0,2.0,3.0,6.0,7.0,2.0
1864,1982,Female,Other,"Managers - Chief Executives, General Managers and Legislators",Between 20 and 199,Yes,Couple with no dependent children,More than 5 years,Metro,2-3 days,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,3-4 days,2-3 days,Neither unlikely or likely,Somewhat unlikely,Neither unlikely or likely,much more productive,2.5,9.0,3.0,3.0,0.0,10.0,4.0,3.0
1865,1978,Male,Financial and Insurance,Other,More than 200,No,Single person,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Neither unlikely or likely,Neither unlikely or likely,Somewhat unlikely,same productivity,1.0,9.0,5.5,0.5,0.0,9.0,6.0,1.0
1866,1971,Female,Other Services,Managers - Specialist Managers,More than 200,Yes,Single person,More than 5 years,Metro,3-4 days,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,1-2 days,1-2 days,Somewhat unlikely,Very unlikely,Very unlikely,same productivity,2.0,8.0,4.0,3.0,1.0,9.0,3.0,4.0
1867,1972,Female,Retail Trade,Other,More than 200,No,One parent family with dependent children,More than 5 years,Regional,0-1 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,0-1 days,0-1 days,Somewhat likely,Somewhat likely,Somewhat likely,much more productive,2.0,6.0,5.0,5.0,4.0,4.0,4.0,8.0
1868,1983,Male,Information Media and Telecommunications,Professionals - ICT Professionals,Between 20 and 199,Yes,Couple with dependent children,More than 5 years,Metro,1-2 days,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,2-3 days,3-4 days,Neither unlikely or likely,Somewhat likely,Neither unlikely or likely,much more productive,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
1869,1975,Male,Other,Other,More than 200,No,Other one family household,Between 1 and 5 years,Metro,1-2 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,1-2 days,1-2 days,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,same productivity,1.0,8.0,2.0,5.0,1.0,8.0,2.0,5.0
1870,1959,Male,"Professional, Scientific and Technical",Managers - Specialist Managers,Between 20 and 199,Yes,Couple with dependent children,More than 5 years,Metro,4-5 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,3-4 days,2-3 days,Somewhat likely,Somewhat likely,Somewhat likely,more productive,2.0,9.0,6.0,1.0,0.0,10.0,4.0,2.0
1871,1970,Female,Health Care and Social Assistance,"Managers - Chief Executives, General Managers and Legislators",More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro,1-2 days,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,1-2 days,1-2 days,Very unlikely,Very likely,Somewhat unlikely,less productive,2.5,9.5,2.0,2.5,0.5,10.0,3.0,3.0
1872,1957,Female,Financial and Insurance,Other,More than 200,No,Single person,More than 5 years,Metro,4-5 days,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,4-5 days,4-5 days,Neither unlikely or likely,Neither unlikely or likely,Somewhat unlikely,much less productive,0.0,10.0,5.0,4.0,0.0,8.0,2.0,2.0
1873,1989,Male,Education and Training,Managers - Specialist Managers,Between 5 and 19,Yes,Couple with dependent children,Between 1 and 5 years,Metro,3-4 days,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,3-4 days,4-5 days,Somewhat likely,Somewhat likely,Neither unlikely or likely,much more productive,3.0,10.0,4.0,1.0,0.0,10.0,6.0,2.0
1874,1970,Female,Retail Trade,Other,I am a sole trader/owner-operator,No,Couple with dependent children,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,4-5 days,4-5 days,Very likely,Very likely,Very likely,same productivity,4.0,5.0,4.0,3.0,0.5,5.0,8.0,3.0
1875,1991,Female,Other,"Managers - Chief Executives, General Managers and Legislators",Between 20 and 199,Yes,Couple with no dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,4-5 days,3-4 days,Somewhat likely,Somewhat likely,Somewhat likely,same productivity,1.0,9.0,5.0,2.0,2.0,8.0,3.0,1.0
1876,1993,Female,Other,"Managers - Chief Executives, General Managers and Legislators",Between 20 and 199,No,Couple with no dependent children,Between 6 and 12 months,Metro,1-2 days,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,1-2 days,1-2 days,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,more productive,2.0,4.0,3.5,2.0,4.0,10.0,10.0,2.5
1877,1969,Female,Other,Other,More than 200,No,One parent family with dependent children,More than 5 years,Metro,0-1 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,1-2 days,0-1 days,Neither unlikely or likely,Somewhat likely,Neither unlikely or likely,more productive,2.0,8.0,2.0,6.0,1.0,8.0,4.0,5.0
1878,1995,Female,Financial and Insurance,Other,More than 200,No,Single person,Between 1 and 5 years,Metro,0-1 days,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,4-5 days,4-5 days,Somewhat likely,Somewhat likely,Somewhat likely,more productive,1.0,8.0,5.0,3.0,2.0,8.0,3.0,3.0
1879,1983,Female,Financial and Insurance,"Professionals - Business, Human Resource and Marketing Professionals",Between 5 and 19,Yes,One parent family with dependent children,Between 1 and 5 years,Metro,2-3 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,2-3 days,1-2 days,Neither unlikely or likely,Somewhat likely,Somewhat likely,less productive,2.0,8.0,4.0,2.0,0.0,8.0,6.0,2.0
1880,1972,Female,Other Services,Other,Between 20 and 199,No,Single person,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,4-5 days,4-5 days,Very unlikely,Somewhat unlikely,Somewhat unlikely,much more productive,2.0,8.0,3.0,5.0,0.0,8.0,5.0,3.0
1881,1962,Male,Other,"Managers - Chief Executives, General Managers and Legislators",Between 5 and 19,Yes,Couple with dependent children,More than 5 years,Metro,4-5 days,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,0-1 days,0-1 days,Very unlikely,Somewhat unlikely,Very unlikely,less productive,2.0,8.0,4.0,4.0,0.0,9.0,5.0,3.0
1882,1965,Male,"Professional, Scientific and Technical",Managers - Specialist Managers,Between 1 and 4,Yes,Couple with dependent children,Between 1 and 5 years,Metro,1-2 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,1-2 days,1-2 days,Neither unlikely or likely,Neither unlikely or likely,Somewhat unlikely,much more productive,1.0,6.0,3.0,6.0,1.0,8.0,3.0,4.0
1883,1981,Female,Other Services,Professionals - ICT Professionals,More than 200,No,Couple with no dependent children,Between 1 and 5 years,Metro,4-5 days,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,4-5 days,4-5 days,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,more productive,1.5,8.0,7.5,0.0,0.5,8.0,8.5,0.0
1884,1985,Male,"Professional, Scientific and Technical",Managers - Specialist Managers,Between 5 and 19,Yes,Couple with dependent children,Between 1 and 5 years,Metro,3-4 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,3-4 days,3-4 days,Somewhat likely,Somewhat unlikely,Neither unlikely or likely,much less productive,3.0,9.0,2.0,2.0,3.0,10.0,2.0,1.0
1885,1985,Male,"Professional, Scientific and Technical",Managers - Specialist Managers,Between 20 and 199,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,3-4 days,Very likely,Very likely,Somewhat likely,more productive,3.0,7.0,4.0,2.0,1.0,7.0,5.0,3.0
1886,1963,Male,Other,Other,More than 200,Yes,Single person,More than 5 years,Metro,3-4 days,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,2-3 days,1-2 days,Somewhat unlikely,Neither unlikely or likely,Somewhat likely,more productive,3.0,6.0,4.0,3.0,1.0,7.0,4.0,4.0
1887,1994,Female,Other,Other,Between 20 and 199,No,One parent family with dependent children,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,4-5 days,2-3 days,Very unlikely,Very unlikely,Very unlikely,much more productive,2.0,8.0,6.0,2.0,0.0,8.0,6.0,2.0
1888,1992,Female,Retail Trade,Professionals - ICT Professionals,Between 20 and 199,No,Couple with no dependent children,Between 1 and 5 years,Metro,4-5 days,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,4-5 days,4-5 days,Neither unlikely or likely,Somewhat likely,Somewhat likely,much more productive,3.0,8.0,2.0,3.0,0.0,8.0,5.0,2.0
1889,1971,Male,Retail Trade,Managers - Specialist Managers,More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro,2-3 days,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,3-4 days,2-3 days,Somewhat likely,Neither unlikely or likely,Neither unlikely or likely,more productive,1.0,11.0,2.0,2.0,0.0,12.0,2.0,2.0
1890,1970,Female,Other,Managers - Specialist Managers,Between 20 and 199,Yes,Group household,More than 5 years,Metro,3-4 days,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,3-4 days,3-4 days,Neither unlikely or likely,Somewhat unlikely,Somewhat likely,more productive,5.0,9.0,1.0,1.0,0.0,10.0,2.0,3.0
1891,1959,Male,Information Media and Telecommunications,Other,More than 200,Yes,Couple with dependent children,Between 6 and 12 months,Metro,0-1 days,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,0-1 days,0-1 days,Very likely,Somewhat likely,Somewhat likely,much more productive,4.0,4.0,6.0,4.0,3.0,5.0,6.0,3.0
1892,2000,Female,Other Services,Other,Between 1 and 4,No,Couple with dependent children,Between 1 and 5 years,Metro,1-2 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,1-2 days,2-3 days,Very likely,Very likely,Somewhat likely,more productive,3.0,3.0,3.0,2.0,3.0,2.0,5.0,3.0
1893,1974,Female,Other,Other,Between 20 and 199,No,Couple with dependent children,Between 1 and 5 years,Metro,4-5 days,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,4-5 days,4-5 days,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,much more productive,4.0,8.0,3.0,2.0,0.0,10.0,4.0,4.0
1894,1959,Male,Other,"Managers - Chief Executives, General Managers and Legislators",Between 20 and 199,Yes,Couple with dependent children,More than 5 years,Metro,2-3 days,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,2-3 days,0-1 days,Very unlikely,Neither unlikely or likely,Very unlikely,more productive,2.0,9.0,3.0,2.0,1.0,10.0,3.0,2.0
1895,1983,Female,Retail Trade,Other,More than 200,No,Couple with no dependent children,Between 1 and 5 years,Metro,2-3 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,2-3 days,4-5 days,Somewhat likely,Very likely,Somewhat likely,much more productive,2.0,9.0,5.0,2.0,0.0,9.0,7.0,2.5
1896,1975,Male,Financial and Insurance,Other,More than 200,No,Couple with no dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,4-5 days,3-4 days,Neither unlikely or likely,Somewhat likely,Somewhat likely,more productive,0.0,10.0,5.0,1.0,0.0,10.0,5.0,1.0
1897,1971,Male,Other,"Managers - Chief Executives, General Managers and Legislators",Between 20 and 199,Yes,Couple with dependent children,Between 1 and 5 years,Metro,3-4 days,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,4-5 days,3-4 days,Very unlikely,Somewhat unlikely,Somewhat unlikely,much less productive,2.0,7.0,4.0,4.0,0.0,6.0,3.0,8.0
1898,1972,Female,"Professional, Scientific and Technical",Managers - Specialist Managers,Between 1 and 4,No,Couple with dependent children,Between 1 and 5 years,Metro,4-5 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,4-5 days,4-5 days,Neither unlikely or likely,Neither unlikely or likely,Somewhat likely,same productivity,2.0,6.0,2.0,6.0,1.0,8.0,2.0,5.0
1899,1965,Male,Other,"Managers - Chief Executives, General Managers and Legislators",Between 20 and 199,Yes,Couple with dependent children,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,0-1 days,0-1 days,Neither unlikely or likely,Somewhat unlikely,Neither unlikely or likely,same productivity,1.0,7.0,6.0,3.0,0.0,7.0,7.0,3.0
1900,1973,Male,Other,Managers - Specialist Managers,Between 20 and 199,Yes,Couple with dependent children,More than 5 years,Metro,1-2 days,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,1-2 days,3-4 days,Somewhat unlikely,Neither unlikely or likely,Neither unlikely or likely,more productive,2.0,8.0,4.0,2.0,2.0,8.0,4.0,2.0
1901,1974,Male,Financial and Insurance,Managers - Specialist Managers,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,3-4 days,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,2-3 days,2-3 days,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,more productive,3.0,8.0,3.0,2.0,0.0,8.0,5.0,3.0
1902,1968,Female,Education and Training,Professionals - Education Professionals,More than 200,No,Multiple family household,More than 5 years,Regional,4-5 days,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat disagree,1-2 days,1-2 days,Somewhat unlikely,Somewhat unlikely,Very unlikely,same productivity,2.0,9.0,3.0,3.0,0.5,10.5,3.0,3.0
1903,1982,Female,Other,Managers - Specialist Managers,Between 20 and 199,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,2-3 days,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,2-3 days,1-2 days,Somewhat unlikely,Somewhat likely,Neither unlikely or likely,more productive,1.0,8.0,4.0,5.0,0.0,10.0,3.0,5.0
1904,1999,Male,Other,"Professionals - Design, Engineering, Science and Transport Professionals",Between 20 and 199,No,Couple with no dependent children,Between 6 and 12 months,Metro,3-4 days,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,2-3 days,3-4 days,Neither unlikely or likely,Neither unlikely or likely,Somewhat unlikely,much more productive,4.0,2.0,2.0,2.0,2.0,12.0,2.0,2.0
1905,1982,Female,Financial and Insurance,"Managers - Chief Executives, General Managers and Legislators",More than 200,No,Couple with no dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,4-5 days,4-5 days,Somewhat likely,Somewhat likely,Somewhat likely,much more productive,0.0,8.0,5.0,3.0,0.0,8.0,5.0,3.0
1906,1985,Male,Information Media and Telecommunications,"Managers - Chief Executives, General Managers and Legislators",More than 200,Yes,One parent family with dependent children,More than 5 years,Metro,1-2 days,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,1-2 days,1-2 days,Somewhat unlikely,Neither unlikely or likely,Neither unlikely or likely,more productive,0.0,10.0,4.0,4.0,2.0,10.0,4.0,3.0
1907,1975,Female,Financial and Insurance,Other,Between 5 and 19,Yes,Couple with no dependent children,More than 5 years,Metro,2-3 days,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,2-3 days,2-3 days,Very likely,Very likely,Very likely,much more productive,2.0,8.0,4.0,4.0,2.0,8.0,4.0,2.0
1908,1971,Male,Health Care and Social Assistance,Managers - Specialist Managers,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,4-5 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,4-5 days,4-5 days,Very likely,Very likely,Very likely,much more productive,2.0,11.0,3.0,3.0,0.5,9.0,4.0,4.5
1909,1976,Female,Information Media and Telecommunications,"Managers - Chief Executives, General Managers and Legislators",Between 5 and 19,Yes,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,4-5 days,4-5 days,Somewhat likely,Somewhat likely,Somewhat likely,same productivity,1.5,8.0,4.5,2.0,0.0,8.0,6.0,2.0
1910,1959,Female,"Professional, Scientific and Technical","Professionals - Business, Human Resource and Marketing Professionals",Between 20 and 199,No,Couple with dependent children,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Somewhat unlikely,Somewhat likely,Very likely,same productivity,3.0,7.0,4.0,3.0,1.0,7.0,5.0,4.0
1911,1978,Male,Information Media and Telecommunications,"Managers - Chief Executives, General Managers and Legislators",Between 20 and 199,Yes,Couple with dependent children,Between 1 and 5 years,Regional,1-2 days,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,1-2 days,2-3 days,Somewhat likely,Very likely,Very likely,much more productive,4.0,8.0,4.0,2.0,4.0,8.0,4.0,2.0
1912,1967,Female,"Professional, Scientific and Technical",Professionals - ICT Professionals,Between 20 and 199,No,Single person,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,3-4 days,3-4 days,Somewhat likely,Somewhat likely,Somewhat unlikely,much more productive,4.0,7.0,1.0,4.0,2.0,10.0,2.0,3.0
1913,1976,Female,Health Care and Social Assistance,"Managers - Chief Executives, General Managers and Legislators",Between 20 and 199,Yes,Couple with no dependent children,Between 1 and 5 years,Regional,2-3 days,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,2-3 days,2-3 days,Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,much more productive,2.0,11.0,2.0,2.0,0.5,11.0,3.0,2.5
1914,2000,Male,Other,Other,Between 20 and 199,No,One parent family with dependent children,Between 6 and 12 months,Metro,2-3 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,2-3 days,2-3 days,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,much more productive,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0
1915,1991,Male,Information Media and Telecommunications,Managers - Specialist Managers,Between 20 and 199,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,4-5 days,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,4-5 days,3-4 days,Somewhat unlikely,Somewhat likely,Somewhat unlikely,more productive,3.0,8.0,3.0,2.0,0.5,10.0,3.0,3.0
1916,1998,Female,Other,"Managers - Chief Executives, General Managers and Legislators",Between 20 and 199,Yes,Couple with dependent children,Between 1 and 5 years,Regional,3-4 days,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,4-5 days,1-2 days,Very unlikely,Neither unlikely or likely,Somewhat unlikely,much more productive,2.5,9.0,2.5,2.0,1.0,10.0,2.0,3.0
1917,1980,Male,"Professional, Scientific and Technical",Managers - Specialist Managers,Between 20 and 199,Yes,Couple with no dependent children,More than 5 years,Metro,4-5 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,4-5 days,2-3 days,Neither unlikely or likely,Neither unlikely or likely,Somewhat likely,more productive,1.0,8.0,4.0,3.0,0.0,8.0,4.0,4.0
1918,1962,Female,Education and Training,Professionals - Education Professionals,Between 20 and 199,No,One parent family with dependent children,More than 5 years,Regional,0-1 days,Neither agree nor disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,4-5 days,4-5 days,Very unlikely,Very unlikely,Very unlikely,more productive,2.0,8.0,2.0,2.0,1.0,8.0,3.0,2.0
1919,1982,Female,Other,Managers - Specialist Managers,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,0-1 days,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,0-1 days,1-2 days,Very likely,Very likely,Very likely,much more productive,2.0,9.0,3.0,3.0,2.0,9.0,3.0,3.0
1920,1990,Male,"Professional, Scientific and Technical",Managers - Specialist Managers,Between 20 and 199,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,1-2 days,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,1-2 days,1-2 days,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,more productive,2.0,8.0,3.0,1.0,3.0,8.0,3.0,2.0
1921,1999,Female,"Professional, Scientific and Technical",Other,More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro,4-5 days,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat disagree,4-5 days,1-2 days,Somewhat likely,Somewhat likely,Somewhat likely,more productive,2.0,11.0,2.0,3.0,0.0,9.0,6.0,3.0
1922,1977,Female,Education and Training,Other,More than 200,No,Couple with dependent children,Between 1 and 5 years,Regional,0-1 days,Strongly disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,0-1 days,0-1 days,Very unlikely,Very unlikely,Very unlikely,much more productive,1.5,8.5,3.0,3.0,0.0,8.5,3.5,4.0
1923,1957,Female,Financial and Insurance,Other,More than 200,No,Single person,More than 5 years,Metro,4-5 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,4-5 days,4-5 days,Somewhat likely,Somewhat likely,Somewhat likely,much more productive,0.0,10.0,2.0,2.0,0.0,8.0,1.0,2.0
1924,1972,Male,Other,"Professionals - Business, Human Resource and Marketing Professionals",Between 20 and 199,Yes,Couple with dependent children,Between 1 and 5 years,Regional,0-1 days,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat disagree,0-1 days,0-1 days,Very unlikely,Very unlikely,Very unlikely,less productive,2.0,11.0,3.0,1.0,0.0,12.0,3.0,1.0
1925,1960,Female,Other,Other,Between 1 and 4,No,Couple with no dependent children,More than 5 years,Regional,4-5 days,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,4-5 days,3-4 days,Very likely,Very likely,Somewhat likely,more productive,1.0,8.0,3.0,4.0,0.0,8.0,4.0,4.0
