responder_id,birth_year,gender,industry_desc,occupation_desc,organization_size,manage_others,household,years_at_job,metro_or_regional,rw_percentage_2020,org_encouraged_rw,org_prepared_for_rw,rw_is_common_at_org,rw_permission_is_attainable,rw_collaboration_easy,preferred_rw_percentage_2020,preferred_rw_percentage_future,if_no_covid_employer_encourage_rw,if_no_covid_employer_support_rw,if_no_covid_i_would_have_choice_about_rw,productivity_remote_vs_office,inperson_hours__commuting,inperson_hours__working,inperson_hours__personal_family_time,inperson_hours_domestic_responsibilities,remote_hours_commuting,remote_hours_working,remote_hours_personal_family_time,remote_hours_domestic_responsibilities,commute_time_difference
1272,1984,Male,Information Media and Telecommunications,Managers,More than 200,Yes,Single person,Between 6 and 12 months,Metro,2-3 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,3-4 days,1-2 days,Somewhat agree,Somewhat agree,Somewhat agree,much more productive,2,2,5,2,0.5,5,8,5,1.5
1273,1961,Male,"Professional, Scientific and Technical Services",Managers,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,3-4 days,Somewhat agree,Strongly agree,Strongly agree,more productive,1.5,11.5,10,1,0.5,12.5,10,1,1
1274,1960,Female,"Professional, Scientific and Technical Services",Managers,Between 5 and 19,No,Couple with no dependent children,More than 5 years,Metro,0-1 days,Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,2-3 days,0-1 days,Somewhat disagree,Somewhat agree,Neither agree nor disagree,less productive,1,7,1,0,0.25,6,1,0,0.75
1275,1987,Male,"Professional, Scientific and Technical Services",Sales ,More than 200,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,2-3 days,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,4-5 days,4-5 days,Strongly agree,Strongly agree,Somewhat agree,less productive,2,9,4,1,0.5,10,4,1,1.5
1276,1956,Male,"Professional, Scientific and Technical Services",Professionals,More than 200,No,Couple with no dependent children,More than 5 years,Regional,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Somewhat agree,Somewhat agree,Somewhat agree,more productive,1,7.5,0.5,2,0.5,7.5,0.5,2,0.5
1277,1964,Female,Financial and Insurance Services,Clerical and administrative ,Between 5 and 19,No,Couple with dependent children,More than 5 years,Metro,2-3 days,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,2-3 days,1-2 days,Neither agree nor disagree,Somewhat agree,Somewhat agree,less productive,1.5,8,4,2,0.5,8,5,2,1
1278,1984,Male,Health Care and Social Assistance,Professionals,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,3-4 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,3-4 days,2-3 days,Strongly agree,Strongly agree,Strongly agree,more productive,1,7,4,4,0.5,8,3,4,0.5
1279,1983,Female,"Professional, Scientific and Technical Services",Professionals,Between 20 and 199,No,Couple with dependent children,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,3-4 days,3-4 days,Somewhat agree,Somewhat agree,Neither agree nor disagree,much more productive,2,7,0,0,0,7,1,1,2
1280,1985,Male,Other,Managers,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,3-4 days,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,3-4 days,3-4 days,Strongly agree,Strongly agree,Somewhat agree,same productivity,2,4,4,4,2.5,5,4,5,-0.5
1281,1968,Female,Other,Managers,Between 5 and 19,Yes,Couple with no dependent children,More than 5 years,Metro,4-5 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,4-5 days,3-4 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,same productivity,0.5,8,4,3,0,8,5,3,0.5
1282,1990,Female,Information Media and Telecommunications,Professionals,Between 20 and 199,Yes,Couple with dependent children,Between 1 and 5 years,Metro,3-4 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,2-3 days,Somewhat agree,Somewhat agree,Somewhat agree,more productive,2,6,4,2,1,6,5,3,1
1283,1980,Female,Other,Other,Between 20 and 199,Yes,Couple with no dependent children,More than 5 years,Regional,1-2 days,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,0-1 days,1-2 days,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,much more productive,1,2,4,3,1,3,4,4,0
1284,1955,Female,Other,Clerical and administrative ,Between 5 and 19,Yes,Couple with no dependent children,Between 6 and 12 months,Metro,4-5 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,2-3 days,2-3 days,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,same productivity,2.5,7.5,3,2,0.5,7,3,2,2
1285,1978,Male,"Professional, Scientific and Technical Services",Professionals,More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Somewhat agree,Strongly agree,Strongly agree,more productive,0.5,8.5,5,1,0.5,9,6,1,0
1286,1964,Male,Retail Trade,Managers,Between 1 and 4,Yes,Couple with dependent children,Between 1 and 5 years,Metro,0-1 days,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,0-1 days,0-1 days,Somewhat agree,Somewhat agree,Somewhat agree,more productive,4,6,3,1,1,7,4,2,3
1287,1958,Male,Education and Training,Professionals,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,4-5 days,1-2 days,Neither agree nor disagree,Somewhat agree,Somewhat agree,much more productive,1,9,4,2,0,12,3,2,1
1288,1990,Male,Information Media and Telecommunications,Other,Between 5 and 19,Yes,Single person,Between 1 and 5 years,Metro,2-3 days,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,0-1 days,1-2 days,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,same productivity,5,5,5,5,5,5,5,5,0
1289,1984,Female,"Professional, Scientific and Technical Services",Professionals,Between 20 and 199,No,Single person,Between 1 and 5 years,Metro,2-3 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,1-2 days,1-2 days,Neither agree nor disagree,Somewhat agree,Somewhat agree,same productivity,2,8,5,2,1,6,4,1,1
1290,1960,Male,Other Services,Professionals,Between 20 and 199,No,Couple with no dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,0-1 days,0-1 days,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,same productivity,0.5,7,0,0,0,8,0,0.5,0.5
1291,1969,Female,Education and Training,Professionals,More than 200,No,Couple with no dependent children,Between 1 and 5 years,Regional,0-1 days,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,0-1 days,0-1 days,Somewhat disagree,Somewhat disagree,Somewhat disagree,same productivity,1.5,8.5,4,2,1,8.5,2,2,0.5
1292,1975,Female,Financial and Insurance Services,Clerical and administrative ,Between 20 and 199,Yes,Couple with dependent children,More than 5 years,Metro,2-3 days,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,3-4 days,0-1 days,Strongly disagree,Strongly disagree,Strongly disagree,same productivity,2,8,3,3,1,8,4,3,1
1293,1957,Female,Financial and Insurance Services,Clerical and administrative ,More than 200,No,Single person,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Strongly agree,Strongly agree,Strongly agree,much more productive,2,8,1,1,0,8,1,1,2
1294,1988,Female,Financial and Insurance Services,Clerical and administrative ,Between 20 and 199,No,Couple with no dependent children,Between 6 and 12 months,Metro,1-2 days,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,2-3 days,2-3 days,Neither agree nor disagree,Somewhat agree,Somewhat agree,much less productive,3.5,8.5,4,3,0.5,8.5,5,4,3
1295,1988,Male,Other Services,Managers,Between 20 and 199,Yes,Group household,More than 5 years,Metro,4-5 days,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,4-5 days,1-2 days,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,less productive,3,6,2,2,3,8,8,5,0
1296,1991,Female,Other,Managers,Between 20 and 199,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,2-3 days,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,4-5 days,3-4 days,Somewhat agree,Somewhat agree,Somewhat agree,more productive,2,6,3,0,0,9,5,0,2
1297,1970,Female,Education and Training,Other,More than 200,No,Single person,More than 5 years,Metro,0-1 days,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly agree,4-5 days,4-5 days,Strongly disagree,Strongly disagree,Strongly disagree,much more productive,2,7.5,5,0.5,0.5,7.5,5,1,1.5
1298,1987,Female,Information Media and Telecommunications,Managers,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,4-5 days,4-5 days,Somewhat agree,Somewhat agree,Somewhat agree,much more productive,2,10,6,6,1,11,5,7,1
1299,1990,Male,Other Services,Managers,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,4-5 days,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,0-1 days,1-2 days,Somewhat agree,Neither agree nor disagree,Somewhat agree,much more productive,1,9,7,7,0.5,2,2,2.5,0.5
1300,1961,Male,Other,Professionals,More than 200,No,Couple with dependent children,More than 5 years,Regional,2-3 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,2-3 days,2-3 days,Somewhat agree,Somewhat agree,Somewhat agree,same productivity,0.15,8,8,0,0.15,8,7,1,0
1301,1972,Male,"Professional, Scientific and Technical Services",Professionals,More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro,2-3 days,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,3-4 days,2-3 days,Somewhat agree,Somewhat agree,Somewhat agree,same productivity,1,8,0,0,3,4,1,2,-2
1302,1978,Male,Other,Managers,Between 20 and 199,Yes,Couple with dependent children,More than 5 years,Regional,1-2 days,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,1-2 days,1-2 days,Somewhat agree,Strongly agree,Strongly agree,much more productive,2,8,2,0,2,8,2,0,0
1303,1990,Male,Health Care and Social Assistance,Professionals,Between 20 and 199,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,1-2 days,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,0-1 days,1-2 days,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,less productive,3,8,7,4,3,8,7,4,0
1304,1994,Male,Education and Training,Other,Between 1 and 4,Yes,Group household,More than 5 years,Metro,4-5 days,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,1-2 days,1-2 days,Somewhat disagree,Somewhat disagree,Somewhat disagree,same productivity,1,10,3.5,1,0,9,10,1,1
1305,1990,Male,Other,Sales ,Between 5 and 19,Yes,Couple with dependent children,Between 6 and 12 months,Metro,1-2 days,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,2-3 days,2-3 days,Strongly agree,Strongly agree,Strongly agree,much more productive,3,6,10,5,2,7,9,6,1
1306,1958,Female,Health Care and Social Assistance,Other,Between 5 and 19,No,Couple with no dependent children,More than 5 years,Regional,4-5 days,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat disagree,4-5 days,2-3 days,Somewhat agree,Neither agree nor disagree,Somewhat agree,much more productive,2.5,4,4,5,0,4,6,5,2.5
1307,1972,Female,Other,Clerical and administrative ,Between 20 and 199,No,Couple with dependent children,Between 1 and 5 years,Metro,4-5 days,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,4-5 days,3-4 days,Somewhat agree,Somewhat agree,Somewhat agree,much more productive,1,7,6,5,0,6,7,5,1
1308,1984,Female,"Professional, Scientific and Technical Services",Professionals,Between 5 and 19,No,Group household,More than 5 years,Metro,3-4 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,3-4 days,1-2 days,Somewhat agree,Somewhat agree,Somewhat agree,more productive,2,8,6,2,0,9.5,6,3,2
1309,1967,Female,Other,Professionals,Between 1 and 4,No,Couple with dependent children,More than 5 years,Regional,2-3 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Strongly agree,Strongly agree,Strongly disagree,same productivity,0,7,2,3,0,7,2,3,0
1310,1977,Male,Financial and Insurance Services,Managers,Between 20 and 199,Yes,Couple with dependent children,More than 5 years,Metro,1-2 days,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,1-2 days,1-2 days,Neither agree nor disagree,Somewhat agree,Somewhat agree,same productivity,2,7,2,2,0.5,7,3.5,2,1.5
1311,1995,Female,Retail Trade,Other,More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Somewhat disagree,Somewhat disagree,Somewhat disagree,more productive,3,8,10,3,0.5,8,4,3,2.5
1312,1963,Male,"Professional, Scientific and Technical Services",Professionals,I am the only employee,No,Couple with dependent children,More than 5 years,Regional,4-5 days,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Somewhat agree,Somewhat agree,Strongly agree,much more productive,0.25,6,4,2,0,9,2,2,0.25
1313,1979,Male,Other,Other,Between 1 and 4,Yes,Couple with no dependent children,Between 1 and 5 years,Regional,1-2 days,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,4-5 days,2-3 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,same productivity,0.5,9,7,7.5,0.5,10,6,7.5,0
1314,1990,Male,Other,Managers,Between 20 and 199,Yes,Couple with dependent children,More than 5 years,Regional,3-4 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,3-4 days,2-3 days,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,much more productive,2,9,3,3,0,10,3,4,2
1315,1998,Male,Other,Managers,Between 5 and 19,Yes,Multiple family household,Between 6 and 12 months,Metro,4-5 days,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,3-4 days,2-3 days,Somewhat agree,Somewhat agree,Strongly agree,same productivity,2,1,1,2,2,2,1,1,0
1316,1972,Male,Information Media and Telecommunications,Professionals,Between 20 and 199,No,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,4-5 days,2-3 days,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,same productivity,3,8,2,3,1,8,3,4,2
1317,1989,Male,Other,Professionals,More than 200,No,Single person,More than 5 years,Metro,1-2 days,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,3-4 days,2-3 days,Somewhat agree,Strongly agree,Strongly agree,same productivity,1.5,8,6,1,0.66,9,6,1,0.84
1318,1970,Male,Other,Professionals,More than 200,No,Couple with dependent children,Between 6 and 12 months,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Strongly agree,Strongly agree,Strongly agree,same productivity,1.5,8,3,2,0.5,9,3,2,1
1319,1969,Female,Retail Trade,Managers,More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro,1-2 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,2-3 days,2-3 days,Somewhat agree,Somewhat agree,Somewhat agree,much more productive,1,6,3,3,0.5,6,4,3,0.5
1320,1983,Male,"Professional, Scientific and Technical Services",Other,Between 20 and 199,No,Couple with dependent children,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,4-5 days,4-5 days,Strongly agree,Strongly agree,Strongly agree,more productive,2,8,4,8,0.5,6,8,8,1.5
1321,1989,Female,Other,Managers,Between 20 and 199,Yes,Couple with dependent children,Between 1 and 5 years,Regional,0-1 days,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,0-1 days,0-1 days,Somewhat disagree,Neither agree nor disagree,Somewhat agree,less productive,2,6,2,1,2,6,2,1,0
1322,1971,Male,Other,Other,More than 200,No,Couple with dependent children,Between 6 and 12 months,Regional,0-1 days,No response,No response,No response,No response,No response,0-1 days,0-1 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,more productive,1,8,5,5,2,10,5,7,-1
1323,1969,Female,Retail Trade,Sales ,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,1-2 days,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,1-2 days,2-3 days,Somewhat agree,Somewhat agree,Somewhat agree,much more productive,1,7,10,6,1,7,10,6,0
1324,1972,Female,"Professional, Scientific and Technical Services",Managers,Between 1 and 4,No,Couple with dependent children,Between 1 and 5 years,Metro,4-5 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,4-5 days,4-5 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,same productivity,2,4,4,2,0,4,4,4,2
1325,1974,Female,Retail Trade,Managers,More than 200,Yes,Couple with dependent children,More than 5 years,Regional,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Strongly agree,Strongly agree,Strongly agree,much more productive,6,6,0.5,0,0.25,9,2,2,5.75
1326,1995,Male,Education and Training,Managers,Between 20 and 199,Yes,Single person,Between 6 and 12 months,Metro,3-4 days,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,2-3 days,1-2 days,Somewhat agree,Neither agree nor disagree,Strongly agree,much more productive,1,8,3,3,0,8,5,4,1
1327,1990,Male,"Professional, Scientific and Technical Services",Managers,Between 1 and 4,Yes,Couple with dependent children,Between 1 and 5 years,Metro,1-2 days,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,2-3 days,3-4 days,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,more productive,2,8,2,1,0.5,2,1,1,1.5
1328,1992,Male,"Professional, Scientific and Technical Services",Professionals,More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,2-3 days,2-3 days,Strongly agree,Strongly agree,Strongly agree,more productive,2.5,6.5,3.5,2,0,7.5,4,2,2.5
1329,1977,Male,Other,Other,Between 1 and 4,No,Couple with dependent children,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Somewhat agree,Somewhat agree,Somewhat agree,much more productive,0,8,3.5,4,1,8,4,2,-1
1330,1987,Female,Other,Professionals,Between 5 and 19,Yes,Couple with no dependent children,Between 6 and 12 months,Metro,0-1 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,2-3 days,0-1 days,Strongly agree,Strongly agree,Strongly agree,same productivity,2,10,0,4,0.5,10,4,0,1.5
1331,1979,Male,Information Media and Telecommunications,Professionals,Between 5 and 19,Yes,Couple with dependent children,More than 5 years,Regional,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,3-4 days,Somewhat agree,Neither agree nor disagree,Somewhat agree,more productive,3.5,8,4,1,0,9,6,1,3.5
1332,1992,Male,Other,Managers,More than 200,Yes,Group household,Between 6 and 12 months,Metro,4-5 days,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,2-3 days,3-4 days,Somewhat disagree,Somewhat disagree,Somewhat agree,less productive,1,8,1,2,0,7,4,4,1
1333,1995,Male,"Professional, Scientific and Technical Services",Managers,Between 20 and 199,Yes,Single person,Between 1 and 5 years,Metro,4-5 days,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,1-2 days,1-2 days,Neither agree nor disagree,Strongly agree,Somewhat agree,much more productive,1,9,1,1,0,10,1,1,1
1334,1974,Male,"Professional, Scientific and Technical Services",Managers,More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Regional,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,much more productive,5,8,2,2,0,10,4,3,5
1335,1960,Female,"Professional, Scientific and Technical Services",Professionals,More than 200,No,Couple with no dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Somewhat agree,Somewhat agree,Strongly agree,more productive,0.5,7,0,0,0,8,0.5,0,0.5
1336,1989,Female,Financial and Insurance Services,Professionals,More than 200,No,Couple with no dependent children,Between 6 and 12 months,Metro,4-5 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,4-5 days,4-5 days,Somewhat agree,Somewhat agree,Neither agree nor disagree,much more productive,1,8,4,0,1,8,4,0,0
1337,1984,Female,"Professional, Scientific and Technical Services",Professionals,Between 20 and 199,Yes,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,4-5 days,1-2 days,Somewhat disagree,Somewhat agree,Neither agree nor disagree,same productivity,2,8,3.5,1,0,8,4,2,2
1338,1981,Female,Other,Professionals,More than 200,No,Couple with no dependent children,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,more productive,1,8,0,0,0,8,0,0,1
1339,1990,Male,Other,Professionals,Between 5 and 19,Yes,Couple with dependent children,Between 6 and 12 months,Metro,1-2 days,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,1-2 days,1-2 days,Strongly agree,Somewhat agree,Strongly agree,less productive,3,7,8,6,3,7,8,6,0
1340,1987,Male,Other,Managers,More than 200,Yes,Couple with no dependent children,More than 5 years,Regional,2-3 days,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,3-4 days,4-5 days,Somewhat agree,Somewhat agree,Somewhat agree,much more productive,1,8,1,2,0.2,8,3,4,0.8
1341,1993,Male,"Professional, Scientific and Technical Services",Other,Between 5 and 19,No,Multiple family household,Between 1 and 5 years,Regional,0-1 days,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,0-1 days,0-1 days,Somewhat agree,Strongly agree,Strongly agree,less productive,0.5,7,0,0,0,6,1,1,0.5
1342,1978,Male,Other,Managers,Between 20 and 199,Yes,Couple with dependent children,More than 5 years,Regional,1-2 days,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,1-2 days,1-2 days,Somewhat agree,Strongly agree,Somewhat agree,much more productive,1,8,0,0,1,8,0,0,0
1343,1963,Female,Other Services,Clerical and administrative ,More than 200,No,One  parent family with dependent children,Between 6 and 12 months,Regional,4-5 days,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,4-5 days,4-5 days,Somewhat disagree,Somewhat disagree,Somewhat disagree,much more productive,2,9,10,3,0,9,10,5,2
1344,1976,Female,Other,Professionals,Between 20 and 199,Yes,Couple with dependent children,Between 1 and 5 years,Metro,0-1 days,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,0-1 days,1-2 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,much more productive,1,1,1,1,1,1,1,1,0
1345,1996,Female,Other,Clerical and administrative ,More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro,3-4 days,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,4-5 days,2-3 days,Somewhat disagree,Somewhat disagree,Strongly disagree,less productive,2,8,4,1,0.25,8,4,2,1.75
1346,1974,Male,"Professional, Scientific and Technical Services",Managers,More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Regional,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Somewhat agree,Somewhat agree,Somewhat disagree,more productive,5,7,2,2,0.5,8,4,2,4.5
1347,1969,Male,Other,Professionals,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,3-4 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,2-3 days,2-3 days,Strongly agree,Strongly agree,Strongly agree,much more productive,3.5,8,4,3,1,8,4,5,2.5
1348,1960,Male,Financial and Insurance Services,Professionals,I am the only employee,No,Single person,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,4-5 days,4-5 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,same productivity,0,6,10,8,0,6,10,8,0
1349,1990,Female,"Professional, Scientific and Technical Services",Managers,Between 20 and 199,Yes,Couple with no dependent children,Between 6 and 12 months,Metro,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,4-5 days,3-4 days,Somewhat agree,Strongly agree,Strongly agree,more productive,1.5,7.5,3,1,0.5,9,4,0.5,1
1350,1964,Male,Other Services,Managers,Between 20 and 199,Yes,Couple with dependent children,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,4-5 days,3-4 days,Somewhat agree,Somewhat agree,Somewhat agree,much more productive,1.5,9,3,0.5,0.25,9,4,1,1.25
1351,1998,Female,Other,Managers,More than 200,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,2-3 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,1-2 days,Strongly agree,Strongly agree,Strongly agree,much less productive,1,8,5,2,1,8,8,2,0
1352,1994,Male,Other,Professionals,Between 5 and 19,Yes,Couple with dependent children,Between 6 and 12 months,Metro,2-3 days,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,2-3 days,2-3 days,Somewhat agree,Strongly agree,Somewhat agree,much more productive,3,8,8,5,3,8,6,7,0
1353,1978,Female,Education and Training,Other,Between 20 and 199,No,Couple with dependent children,More than 5 years,Metro,0-1 days,No response,No response,No response,No response,No response,0-1 days,0-1 days,Strongly disagree,Strongly disagree,Strongly disagree,less productive,1,7,2,2,0.5,6,3,2,0.5
1354,1992,Female,Other,Managers,Between 20 and 199,Yes,Single person,More than 5 years,Regional,4-5 days,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat agree,4-5 days,4-5 days,Strongly disagree,Strongly disagree,Strongly disagree,much more productive,1,11,2,2,0.25,5,5,5,0.75
1355,1989,Female,Other,Clerical and administrative ,Between 20 and 199,Yes,Multiple family household,Between 1 and 5 years,Regional,0-1 days,No response,No response,No response,No response,No response,4-5 days,2-3 days,Strongly disagree,Strongly disagree,Strongly disagree,much more productive,6,8,1,2,0.5,9,4,4,5.5
